COMPANY NAME,Symbol,Company_Age,Log_Issue_Price,Range_Width_pct,Days_to_List,Revenue_CAGR,PAT_CAGR,Avg_Operating_Margin,Avg_ROE_pct,Avg_ROCE_pct,Avg_DE_pct,Avg_Interest_Coverage,Avg_Assets_Turnover,Log_Latest_Revenue,Ind_Financial Services,Ind_Healthcare & Pharmaceuticals,Ind_Industrial Manufacturing & Capital Goods,Ind_Information Technology & Digital Platforms,"Ind_Infrastructure, Construction & Utilities","Ind_Materials, Energy & Commodities"
Aether Industries Limited,AETHER,-0.6779661016949152,0.5713479988059134,-0.016444026037892714,0.6666666666666666,-0.1464675901264284,-0.12140279713805466,0.9293223994964591,-0.3056524207282462,-0.33157084188911723,-0.30427966765950776,0.7886600911345678,-0.5759791971396069,-0.29193112616203964,0.0,0.0,0.0,0.0,0.0,1.0
Ajax Engineering Limited,AJAXENGG,0.7457627118644068,0.5537337942175462,-0.5744666665265065,-0.3333333333333333,0.384240728452009,0.20709509230175335,0.18986357217926028,0.26153596626388775,0.37890143737166326,-0.5639598683179182,7.586722039568553,0.48236632536973817,0.14477547333012403,0.0,0.0,1.0,0.0,0.0,0.0
Akums Drugs and Pharmaceuticals Limited,AKUMS,-0.06779661016949153,0.6195969785544906,-0.3392282142078474,-0.3333333333333333,-0.8699770027518483,4.175655741788721,-0.4099002844069488,-1.566904549509367,-0.5720910335386722,0.05541620943721593,0.2058602987829498,0.32569478303266697,0.6266745810302379,0.0,1.0,0.0,0.0,0.0,0.0
All Time Plastics Limited,ALLTIME,0.13559322033898305,-0.15801184209666147,1.2040288684735778,-1.0,-0.5168722787718038,-0.30942811682128596,0.026418773483085,0.10161381883058944,-0.019866529774127333,0.5220515232272563,-0.1050354732652708,0.22233057045343746,-0.7640342549410132,0.0,0.0,0.0,0.0,0.0,0.0
Allied Blenders and Distillers Limited,ABDL,-0.3389830508474576,-0.13946513642407043,-0.02220023314659194,-0.3333333333333333,-0.8736188556627961,7.538912452024319,-0.6603179396977372,-0.9742924337036739,0.4111396303901438,1.5594398286042748,-0.25702255292149734,2.5164960182025036,1.1096887920520362,0.0,0.0,0.0,0.0,0.0,0.0
Anand Rathi Share and Stock Brokers Limited,ARSSBL,0.8135593220338984,0.19373718712376986,0.21211493665872777,-0.3333333333333333,0.016411246875673618,0.01985691578227191,1.2075564592049304,0.14378395912740233,1.318121149897331,1.5021685739666617,-0.22708657783930317,-0.8152120916626038,-0.46245847391795336,1.0,0.0,0.0,0.0,0.0,0.0
Anand Rathi Wealth Limited,ANANDRATHI,0.5423728813559322,0.43818665218144454,-3.5161132898178122,0.6666666666666666,0.47297455416737044,0.1530817315077191,2.059867920038841,1.7908523234125375,1.7502908966461328,-0.5147358520144223,2.6732998788717772,0.006500893872907532,-0.24883380895747403,1.0,0.0,0.0,0.0,0.0,0.0
Angel Broking Limited,ANGELBRKG,0.4745762711864407,-0.06621326733534823,-12.10800604200179,1.6666666666666667,0.03724595769684621,-0.30142306832484733,1.7829909972603248,1.2288541075338575,1.745225872689938,0.5966974969953496,0.21739632000922882,-0.7372013651877134,0.780679934296009,1.0,0.0,0.0,0.0,0.0,0.0
Anthem Biosciences Limited,ANTHEM,-0.2033898305084746,0.46893459982117913,0.7071717991797543,-0.3333333333333333,-0.3001026217619681,-0.30341232527618806,1.75311683156498,0.515205579433947,0.6065537303216973,-0.5170089355698385,3.804406760108438,-0.32114415732163165,0.18698403430730814,0.0,1.0,0.0,0.0,0.0,0.0
Antony Waste Handling Cell Limited,AWHCL,0.13559322033898305,-0.04129500997858227,-11.308093995568658,1.0,-0.470851000995231,-0.4915034920073124,0.2330556794732208,-0.1340523882896766,-0.37633470225872695,0.18406098134503854,-0.12383918786410564,-0.3243946042580855,-0.375340271100626,0.0,0.0,0.0,0.0,1.0,0.0
